Reference Number,Title of referral,Notification from EPBC Act,Date of notice,PDF Attachments,Non PDF Attachments,Download,Download Folder,PDFs Combined
2020/8861,Western Australian Land Authority/Residential Development/Wanneroo/Western Australia/Alkimos Coastal Node,Decision on Assessment Approach: Preliminary Documentation,15/04/2021,Yes,No,Success,20208861_15042021_wala_doaapd,Yes
2017/7923,"The Trustee for ARD No.7 Discretionary Trust/Residential Development/Lot 11 and 74 Beenyup Road, Banjup/Western Australia/Residential developmnt, Lots 11 and 74 Beenyup Road, Banjup, WA",Final recommendation report completed,15/04/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2020/8702,"Wollongong Coal Limited/Mining/7 Princes Hwy, Corrimal/New South Wales/Russell Vale Colliery Revised Underground Expansion Project",Notification of Publication of Final Public Environment Report,14/04/2021,Yes,No,Success,20208702_14042021_wcl_nopofper,Yes
2017/7997,"DDG OPERATIONS PTY LTD/Energy Generation and Supply (non-renewable)/Tanami Road, Yuendumu, NT, 0872/Northern Territory/Tanami Gas Pipeline",Correction notice for missing attachments,14/04/2021,Yes,No,Success,20177997_14042021_dopl_cnfma,Yes
2018/8173,"RES AUSTRALIA PTY LTD/Energy Generation and Supply (renewable)/Lots 10, 15, 54, 97, 111, 161, 182, 189, 190 and 202 of DP754908 and Lot 1 of DP198933./New South Wales/Springdale Solar Farm, Sutton, NSW",Decision on approval of action: Approved with conditions,13/04/2021,Yes,No,Success,20188173_13042021_rapl_doaoaawc,Yes
2020/8847,"Sydney Harbour Federation Trust/Commonwealth/High Street, Neutural Bay, Sydney/New South Wales/Torpedo Factory Renewal Project",Decision whether action needs approval/Approval Not Required,13/04/2021,Yes,No,Success,20208847_13042021_shft_dwanaanr,Yes
2021/8904,"Te Ta Pty Ltd/Residential Development/130 Tully Rd, New Beith/Queensland/130 Tully Road New Beith Residential Development v2",Invitation for Public Comment on Referral,12/04/2021,Yes,No,Success,20218904_12042021_ttpl_ifpcor,Yes
2020/8687,"Sydney Metro/Transport - Land/South Western Sydney/New South Wales/Sydney Metro, Western Sydney Airport - St Marys to Elizabeth Drive",Notification of Publication of Final Preliminary Documentation,9/04/2021,Yes,No,Success,20208687_09042021_sm_nopofpd,Yes
2010/5521,GKI Resort Pty Limited/Tourism and Recreation/Great Keppel Island/Queensland/Tourism & Marina Development,Notification of Variation to Approval,9/04/2021,Yes,No,Success,20105521_09042021_grpl_novta,Yes
2010/5521,GKI Resort Pty Limited/Tourism and Recreation/Great Keppel Island/Queensland/Tourism & Marina Development,Notification of Extension of Period of Effect of Approval,9/04/2021,Yes,No,Success,20105521_09042021_grpl_noeopoeoa,Yes
2019/8402,"THE MINISTER FOR ECONOMIC DEVELOPMENT QUEENSLAND/Water Management and Use/Combination of road reserve and lots. Affected roads and lots listed in answer to question 1.5/Queensland/Willowbank Industrial Park Trunk Water Main, Ipswich, Qld",Correction notice,9/04/2021,Yes,No,Success,20198402_09042021_tmfedq_cn,Yes
2021/8918,AGL Energy Limited/Energy Generation and Supply (non-renewable)/4.5km south-west of Broken Hill/New South Wales/Broken Hill Battery Energy Storage System Project,Invitation for Public Comment on Referral,8/04/2021,Yes,No,Success,20218918_08042021_ael_ifpcor,Yes
2021/8907,"AGI Operations Pty Limited/Energy Generation and Supply (non-renewable)/Arrowsmith, near Dongara/Western Australia/West Erregulla Processing Plant and Pipeline",Decision on Assessment Approach: Preliminary Documentation,8/04/2021,Yes,No,Success,20218907_08042021_aopl_doaapd,Yes
2021/8907,"AGI Operations Pty Limited/Energy Generation and Supply (non-renewable)/Arrowsmith, near Dongara/Western Australia/West Erregulla Processing Plant and Pipeline",Decision whether action needs approval/Approval Required,8/04/2021,Yes,No,Success,20218907_08042021_aopl_dwanaar,Yes
2019/8608,"Main Roads Western Australia/Transport - Land/Oakford and Mundijong, WA/Western Australia/Tonkin Highway Extension – Thomas Road to South Western Highway",Notification of Variation to Proposal,8/04/2021,Yes,No,Success,20198608_08042021_mrwa_novtp,Yes
2021/8911,AUSTRALIAN RAIL TRACK CORPORATION LIMITED/Transport - Land/Between border at Kurumbul and Gowrie/Queensland/Inland Rail Border to Gowrie Geotechnical Investigations,Invitation for Public Comment on Referral,8/04/2021,Yes,No,Success,20218911_08042021_artcl_ifpcor,Yes
2017/8045,"GLENELG SHIRE COUNCIL/Transport - Land/North west of Condah and north of Heywood/Victoria/Condah Hotspur Upper Road widening, Crawford River crossing, Vic",Notification to Lapse,8/04/2021,Yes,No,Success,20178045_08042021_gsc_ntl,Yes
2020/8692,Queensland Department of Transport and Main Roads/Transport - Water/Road Reserve and Unallocated State Land/Queensland/Yorkeys Knob Boating Infrastructure Project,Notification of Publication of Preliminary Documentation: Invitation to Comment,7/04/2021,Yes,No,Success,20208692_07042021_qdotamr_nopopditc,Yes
2017/8066,"Peet Stratton Pty Ltd/Residential Development/Lot 102 Farrall Road, Stratton/Western Australia/Residential development and conservation, Lot 102 Farrall Road, Stratton, WA",Assessment Process Notice: Extension of time in which to make a decision whether to approve a controlled action,7/04/2021,Yes,No,Success,20178066_07042021_pspl_apneotiwtmadwtaaca,Yes
2016/7756,"FQM Australia Nickel Pty Ltd/Mining/Lot 1269 South Coast Hway/Western Australia/Expansion of Ravensthorpe Nickel Operations and changes to associated infrastructure, Ravensthorpe, WA",Notification of Variation to Proposal,6/04/2021,Yes,No,Success,20167756_06042021_fanpl_novtp,Yes
2021/8894,"Co-Operative Bulk Handling Limited/Transport - Land/corner of Bindoon-Moora Road and Wheatbin Road, Moora/Western Australia/Moora Grain Receival Site - Out-loading Project, WA",Decision whether action needs approval/Approval Required,6/04/2021,Yes,No,Success,20218894_06042021_cbhl_dwanaar,Yes
2019/8402,"THE MINISTER FOR ECONOMIC DEVELOPMENT QUEENSLAND/Water Management and Use/Combination of road reserve and lots. Affected roads and lots listed in answer to question 1.5/Queensland/Willowbank Industrial Park Trunk Water Main, Ipswich, Qld",Decision on approval of action: Approved with conditions,6/04/2021,Yes,No,Success,20198402_06042021_tmfedq_doaoaawc,Yes
2019/8530,"HOLCIM (AUSTRALIA) PTY LTD/Mining/75 Potters Road, Ondit, VIC, 3249/Victoria/Holcim Colac Quarry Expansion- Stage 5 and Stage 6",Notification of Publication of Preliminary Documentation: Invitation to Comment,5/04/2021,Yes,No,Success,20198530_05042021_hapl_nopopditc,Yes
2020/8800,"Main Roads Western Australia/Transport - Land/Bussell Highway, from 950 m west of Hutton Road to 450 m west of the Sabina River bridge/Western Australia/Bussell Highway Duplication Hutton to Sabina",Notification of Publication of Final Preliminary Documentation,1/04/2021,Yes,No,Success,20208800_01042021_mrwa_nopofpd,Yes
2020/8637,"Sealark Pty Ltd/Residential Development/Multiple lots, Callala Bay/New South Wales/Callala Bay Residential Development",Assessment Process Notice: Extension of time in which to make a decision whether to approve a controlled action,1/04/2021,Yes,No,Success,20208637_01042021_spl_apneotiwtmadwtaaca,Yes
2021/8908,"Syncline Energy Pty Ltd/Energy Generation and Supply (renewable)/77-347 Holden Rd, Plumpton/Victoria/Melton Renewable Energy Hub, Plumpton, Victoria",Decision whether action needs approval/Approval Required,1/04/2021,Yes,No,Success,20218908_01042021_sepl_dwanaar,Yes
2021/8908,"Syncline Energy Pty Ltd/Energy Generation and Supply (renewable)/77-347 Holden Rd, Plumpton/Victoria/Melton Renewable Energy Hub, Plumpton, Victoria",Decision on Assessment Approach: Preliminary Documentation,1/04/2021,Yes,No,Success,20218908_01042021_sepl_doaapd,Yes
2020/8817,"Tasmanian Networks Pty Ltd (TasNetworks)/Energy Generation and Supply (renewable)/Staverton to Hampshire Hills/Tasmania/Staverton to Hampshire Hills Transmission Line and Staverton Substation, North West Tasmania",Statement of Reasons: Decision under section 87,1/04/2021,Yes,No,Success,20208817_01042021_tnplt_sordus8,Yes
2021/8917,"Western Australian Land Authority/Commercial Development/Pederick Road, Neerabup/Western Australia/Neerabup Industrial Area, WA",Invitation for Public Comment on Referral,31/03/2021,Yes,No,Success,20218917_31032021_wala_ifpcor,Yes
2018/8348,"BRIMBANK CITY COUNCIL/Tourism and Recreation/151C Green Gully Road, Keilor Downs, VIC, 3038/Victoria/Sport and recreational facility, 151C Green Gully Road, Keilor Downs, Vic",Notification of Variation to Proposal,31/03/2021,Yes,No,Success,20188348_31032021_bcc_novtp,Yes
2020/8854,"European Space Operations Centre/Science and Research/10353 Great Northern Highway, Yarawindah/Western Australia/ESA Deep Space Facility, WA",Invitation for Public Comment on Referral,31/03/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2021/8889,AGL SA Generation Pty Limited/Energy Generation and Supply (non-renewable)/Torrens Island/South Australia/Torrens Island Battery,Decision whether action needs approval/Approval Not Required,30/03/2021,Yes,No,Success,20218889_30032021_asgpl_dwanaanr,Yes
2018/8289,"NEOEN AUSTRALIA PTY. LTD./Energy Generation and Supply (renewable)/Refer to Kaban Green Power Hub Matters of Environmental Significance Report, Section 1.4./Queensland/Kaban Green Power Hub, Kaban, Qld",Notification of Transfer of Approval to Kaban Wind Farm Pty Ltd (ACN 637 687 622) as trustee for the Kaban Wind Farm Trust,30/03/2021,Yes,No,Success,20188289_30032021_napl_notoatkwfpla666atftkwft,Yes
2021/8888,"Snowy Hydro Limited/Energy Generation and Supply (non-renewable)/Hart Road, Loxford/New South Wales/Kurri Kurri Gas Fired Power Station",Decision whether action needs approval/Approval Required,30/03/2021,Yes,No,Success,20218888_30032021_shl_dwanaar,Yes
2021/8888,"Snowy Hydro Limited/Energy Generation and Supply (non-renewable)/Hart Road, Loxford/New South Wales/Kurri Kurri Gas Fired Power Station",Decision on Assessment Approach: Not Applicable; Bilateral Agreement Applies,30/03/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2017/8007,"MULTICOM RESOURCES PTY LTD/Mining/EPM26410/Queensland/Saint Elmo Vanadium Project, 25 km east Julia Creek, QLD",Decision on approval of action: Approved with conditions,29/03/2021,Yes,No,Success,20178007_29032021_mrpl_doaoaawc,Yes
2021/8896,"Tasmanian Advanced Minerals/Mining/, north of the Arthur River, apprx. 22km to the south-west of the town of Edith Creek, in North-West/Tasmania/Tasmanian Advanced Minerals - Hawkes Creek silica mine expansion",Invitation for Public Comment on Referral,29/03/2021,Yes,No,Success,20218896_29032021_tam_ifpcor,Yes
2020/8858,"Logan City Council/Transport - Land/185-483 Edelsten Road, Jimboomba/Queensland/Edelsten Road Upgrade",Decision whether action needs approval/Approval Required,26/03/2021,Yes,No,Success,20208858_26032021_lcc_dwanaar,Yes
2021/8875,"Boggabri Coal Pty Limited/Mining/Leards Forest Road, 15 km north east Boggabri, Boggabri/New South Wales/Boggabri Coal Mine SSD 09_0182 Modification 8",Suspension of Referral Decision Timeframe Period,26/03/2021,Yes,No,Success,20218875_26032021_bcpl_sordtp,Yes
2020/8862,"S,C & B Catalano Pty Ltd/Mining/near Binningup/Western Australia/Lot 4 Runnymede Road, Wellesley - Proposed Sand Extraction",Decision whether action needs approval/Approval Required,26/03/2021,Yes,No,Success,20208862_26032021_sbcpl_dwanaar,Yes
2021/8883,"Western Australian Land Authority trading as DevelopmentWA/Commercial Development/Lot 20 and 42 Marriot Road, Wellesley/Western Australia/Lot 20 and 42 Marriot Road Commercial Development",Decision whether action needs approval/Approval Required,26/03/2021,Yes,No,Success,20218883_26032021_walatad_dwanaar,Yes
2020/8669,"Idemitsu Australia Resources Pty Ltd/Mining/Duck Ponds Road, Comet/Queensland/Ensham Life of Mine Extension","Change of Designated Proponent to: Idemitsu Australia Resources Pty Ltd, Bligh Coal Limited, Bowen Investment (Australia) Pty Ltd",26/03/2021,Yes,No,Success,20208669_26032021_iarpl_codptiarplbclbiapl,Yes
2020/8858,"Logan City Council/Transport - Land/185-483 Edelsten Road, Jimboomba/Queensland/Edelsten Road Upgrade",Decision on Assessment Approach: Preliminary Documentation,26/03/2021,Yes,No,Success,20208858_26032021_lcc_doaapd,Yes
2021/8883,"Western Australian Land Authority trading as DevelopmentWA/Commercial Development/Lot 20 and 42 Marriot Road, Wellesley/Western Australia/Lot 20 and 42 Marriot Road Commercial Development",Decision on Assessment Approach: Preliminary Documentation,26/03/2021,Yes,No,Success,20218883_26032021_walatad_doaapd,Yes
2020/8862,"S,C & B Catalano Pty Ltd/Mining/near Binningup/Western Australia/Lot 4 Runnymede Road, Wellesley - Proposed Sand Extraction",Decision on Assessment Approach: Preliminary Documentation,26/03/2021,Yes,No,Success,20208862_26032021_sbcpl_doaapd,Yes
2021/8885,Atlas Iron Pty Ltd/Mining/between Port Hedland and Marble Bar/Western Australia/Sanjiv Ridge Project - Stage 2,Decision whether action needs approval/Approval Required,25/03/2021,Yes,No,Success,20218885_25032021_aipl_dwanaar,Yes
2021/8873,"Pioneer North Queensland/Natural Resources Management/Hussey Road, Mount Peter/Queensland/Edmonton Quarry Expansion",Decision whether action needs approval/Approval Not Required,25/03/2021,Yes,No,Success,20218873_25032021_pnq_dwanaanr,Yes
2017/7926,"Central Coast Council/Tourism and Recreation/Wilfred Barrett Drive, Magenta, NSW, 2261/New South Wales/Magenta Shared Pathway Stage 2, NSW",Invitation for Public Comment on Reconsideration,24/03/2021,Yes,No,Success,20177926_24032021_ccc_ifpcor,Yes
2017/8121,"Sapphire Solar Farm Pty Ltd/Energy Generation and Supply (renewable)/Multiple/New South Wales/Sapphire Solar Farm Project, 28km east of Inverell, NSW",Notification of Transfer of Approval to Sapphire Solar Farm Pty Ltd and Sapphire Battery Nominees Pty Ltd,24/03/2021,Yes,No,Success,20178121_24032021_ssfpl_notoatssfplasbnpl,Yes
2021/8892,"Hastings Technology Metals Ltd/Mining/Wanna Station, Cobra-Gifford Creek Road, West Lyons River/Western Australia/Yangibana Expansion 1, WA",Invitation for Public Comment on Referral,24/03/2021,Yes,No,Success,20218892_24032021_html_ifpcor,Yes
2011/5923,TARRAWONGA COAL PTY LTD/Mining/15km NE of Boggabri & 42km NNW of Gunnedah/New South Wales/Tarrawonga Coal Project,Notification of Variation to Approval,24/03/2021,Yes,No,Success,20115923_24032021_tcpl_novta,Yes
2010/5566,"ASTON COAL 2 PTY LTD/Mining/Leard Forest Road, 18km NE of Boggabri, Gunnedah Coal Basin/New South Wales/Maules Creek Coal Project",Notification of Variation to Approval,24/03/2021,Yes,No,Success,20105566_24032021_ac2pl_novta,Yes
2021/8905,"Epuron Projects Pty Ltd/Energy Generation and Supply (renewable)/Between Wongwibinda, Kilcoy and Guyra Roads, Armidale/New South Wales/Doughboy Wind Farm, NSW",Invitation for Public Comment on Referral,24/03/2021,Yes,No,Success,20218905_24032021_eppl_ifpcor,Yes
2009/5003,"NARRABRI COAL OPERATIONS PTY LTD/Mining/30km S-SE of Narrabri, Kamilaroi Highway, Narrabri, NSW/New South Wales/Conversion from Continuous Miner Operation to Longwall Miner Operation",Notification of Variation to Approval,24/03/2021,Yes,No,Success,20095003_24032021_ncopl_novta,Yes
2021/8895,"Fraser Coast Regional Council/Waste Management (sewerage)/Tremlin Drive, Howard/Queensland/Sewerage Treatment Plant, QLD",Invitation for Public Comment on Referral,23/03/2021,Yes,No,Success,20218895_23032021_fcrc_ifpcor,Yes
2021/8912,"CTF Properties Pty Ltd/Residential Development/21 Stuarts Rd, Katoomba/New South Wales/Subdivision at Stuarts Rd Katoomba, NSW",Invitation for Public Comment on Referral,23/03/2021,Yes,No,Success,20218912_23032021_cppl_ifpcor,Yes
2021/8884,"Neoen Australia Pty Ltd/Energy Generation and Supply (renewable)/Blocks 1634 and 1635, Ginninderry, Belconnen/Australian Capital Territory/Territory Battery Energy Storage System",Decision whether action needs approval/Approval Required,22/03/2021,Yes,No,Success,20218884_22032021_napl_dwanaar,Yes
2021/8884,"Neoen Australia Pty Ltd/Energy Generation and Supply (renewable)/Blocks 1634 and 1635, Ginninderry, Belconnen/Australian Capital Territory/Territory Battery Energy Storage System",Decision on Assessment Approach: Not Applicable; Bilateral Agreement Applies,22/03/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2019/8576,"BM Alliance Coal Operations Pty Limited/Mining/Saraji Mine, Dysart/Queensland/Spring Creek to Phillips Creek Diversion",Decision on approval of action: Approved with conditions,22/03/2021,Yes,No,Success,20198576_22032021_bacopl_doaoaawc,Yes
2021/8876,"Eurobodalla Shire Council/Transport - Land/Grandfathers Gully Road intersection at Surf Beach, George Bass Dr, Lilli Pilli/New South Wales/George Bass Drive Lilli Pilli Road Realignment",Decision whether action needs approval/Approval Not Required,22/03/2021,Yes,No,Success,20218876_22032021_esc_dwanaanr,Yes
2020/8830,"WA Limestone Contracting Pty Ltd/Commercial Development/City of Kwinana, near Perth/Western Australia/Lot 170 Hope Valley Road, Hope Valley",Invitation for Public Comment on Referral,19/03/2021,Yes,No,Success,20208830_19032021_wlcpl_ifpcor,Yes
2020/8827,"Patane Produce (WA) pty Ltd/Agriculture and Forestry/6 and 8, Old Coast Road/Western Australia/Production horticulture in Lot 6 and Lot 8 Old Coast Road, Myalup",Change of Designated Proponent to: Patane Farms Pty Ltd,19/03/2021,Yes,No,Success,20208827_19032021_ppwpl_codptpfpl,Yes
2021/8902,"Rawling Road Pty Ltd/Commercial Development/South Western Highway, Davenport/Western Australia/VV Walsh Cold Stores Expansion",Invitation for Public Comment on Referral,19/03/2021,Yes,No,Success,20218902_19032021_rrpl_ifpcor,Yes
2018/8163,"TM Gold Pty Ltd/Mining/Mary River West pastoral lease (PPL815)/Northern Territory/Spring Hill Gold Project, 200km SE of Darwin, NT",Decision on approval of action: Approved with conditions,18/03/2021,Yes,No,Success,20188163_18032021_tgpl_doaoaawc,Yes
2020/8837,Rye Park Renewable Energy Pty Ltd/Energy Generation and Supply (renewable)/near Yass/New South Wales/Rye Park Wind Farm,Notification of Publication of Final Preliminary Documentation,18/03/2021,Yes,No,Success,20208837_18032021_rprepl_nopofpd,Yes
2020/8827,"Patane Produce (WA) pty Ltd/Agriculture and Forestry/6 and 8, Old Coast Road/Western Australia/Production horticulture in Lot 6 and Lot 8 Old Coast Road, Myalup",Change of person proposing to take action to: Patane Farms Pty Ltd,18/03/2021,Yes,No,Success,20208827_18032021_ppwpl_coppttatpfpl,Yes
2020/8863,"Lendlease Communities (Shoreline) Pty Ltd/Residential Development/Scenic Road, Redland Bay/Queensland/Bayhill Estate",Invitation for Public Comment on Referral,17/03/2021,Yes,No,Success,20208863_17032021_lcspl_ifpcor,Yes
2018/8300,"BULGA COAL MANAGEMENT PTY LIMITED/Mining/Broke Road, Pokolbin, NSW, 2320/New South Wales/Bulga Coal Optimisation Project Modification, near Singleton, NSW",Letter re condition 12 – Annual compliance reporting,17/03/2021,Yes,No,Success,20188300_17032021_bcmpl_lrc1–acr,No
2002/773,BULGA COAL MANAGEMENT PTY LTD/Mining/Singleton/New South Wales/Bulga Complex Underground Coal Mine Extension,Notification of Variation to Approval,17/03/2021,Yes,No,Success,2002773_17032021_bcmpl_novta,Yes
2008/4151,"QUEENSLAND TRANSPORT/Transport - Land/Landsborough to Nambour, 80km north of Brisbane/Queensland/Upgrade of the North Coast Rail Line between Landsborough and Nambour",Notification of Proposal Withdrawn,17/03/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2021/8875,"Boggabri Coal Pty Limited/Mining/Leards Forest Road, 15 km north east Boggabri, Boggabri/New South Wales/Boggabri Coal Mine SSD 09_0182 Modification 8",Suspension of Referral Decision Timeframe Period,17/03/2021,Yes,No,Success,20218875_17032021_bcpl_sordtp,Yes
2020/8637,"Sealark Pty Ltd/Residential Development/Multiple lots, Callala Bay/New South Wales/Callala Bay Residential Development",Notification of Publication of Final Preliminary Documentation,17/03/2021,Yes,No,Success,20208637_17032021_spl_nopofpd,Yes
2020/8861,Western Australian Land Authority/Residential Development/Wanneroo/Western Australia/Alkimos Coastal Node,Invitation for Public Comment on Referral,16/03/2021,Yes,No,Success,20208861_16032021_wala_ifpcor,Yes
2020/8743,Alcoa/Mining/Darling Plateau and 6 km east of Pinjarra/Western Australia/Alcoa Pinjarra Refinery Production Increase and Bauxite Export,Notification of Variation to Proposal,16/03/2021,Yes,No,Success,20208743_16032021_a_novtp,Yes
2020/8869,Communities Tasmania on behalf of the Director Housing/Residential Development/near Kingston/Tasmania/Huntingfield Master Plan – Stage 2 and 3,Invitation for Public Comment on Referral,16/03/2021,Yes,No,Success,20208869_16032021_ctobotdh_ifpcor,Yes
2021/8898,"Department of Finance/Commonwealth/1 Kelliher Dr, Russell/Australian Capital Territory/Transfer of Building R9 in Russell ACT to Dept of Defence for demolition",Invitation for Public Comment on Referral,16/03/2021,Yes,No,Success,20218898_16032021_dof_ifpcor,Yes
2010/5736,ADANI MINING PTY LTD/Mining/Moray Downs Cattle Station 160km North West of Clermont/Queensland/Carmichael Coal Mine and Rail Project,Notification of Variation to Approval,15/03/2021,Yes,No,Success,20105736_15032021_ampl_novta,Yes
2018/8290,"The Trustee for Arcidiacono Family Trust/Commercial Development/Lot 2 DP229466/New South Wales/Service centre, 6 Honeman Close, Huntingwood, NSW",Change of Designated Proponent to: Microsoft Data Centre (Australia) Pty Limited,15/03/2021,Yes,No,Success,20188290_15032021_ttfaft_codptmdcapl,Yes
2019/8402,"THE MINISTER FOR ECONOMIC DEVELOPMENT QUEENSLAND/Water Management and Use/Combination of road reserve and lots. Affected roads and lots listed in answer to question 1.5/Queensland/Willowbank Industrial Park Trunk Water Main, Ipswich, Qld",Assessment Process Notice: Extension of time in which to make a decision whether to approve a controlled action,15/03/2021,Yes,No,Success,20198402_15032021_tmfedq_apneotiwtmadwtaaca,Yes
2019/8402,"THE MINISTER FOR ECONOMIC DEVELOPMENT QUEENSLAND/Water Management and Use/Combination of road reserve and lots. Affected roads and lots listed in answer to question 1.5/Queensland/Willowbank Industrial Park Trunk Water Main, Ipswich, Qld",Final recommendation report completed,15/03/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2005/2374,CENTRAL QUEENSLAND PORTS AUTHORITY/Transport - Water/Port of Gladstone/Queensland/Wiggins Island Coal Terminal,Notification of Variation to Approval,15/03/2021,Yes,No,Success,20052374_15032021_cqpa_novta,Yes
2021/8882,"Ausgold Limited/Exploration (mineral, oil and gas - non-marine)/Approximately 36 km north east of Katanning/Western Australia/Katanning Infill Drill Program",Decision whether action needs approval/Approval Not Required - particular manner,12/03/2021,Yes,No,Success,20218882_12032021_al_dwanaanrpm,Yes
2020/8669,"Idemitsu Australia Resources Pty Ltd/Mining/Duck Ponds Road, Comet/Queensland/Ensham Life of Mine Extension","Change of person proposing to take action to: Idemitsu Australia Resources Pty Ltd, Bligh Coal Limited, Bowen Investment (Australia) Pty Ltd",12/03/2021,Yes,No,Success,20208669_12032021_iarpl_coppttatiarplbclbiapl,Yes
2019/8583,ElectraNet/Energy Generation and Supply (non-renewable)/between Cultana and Port Lincoln/South Australia/Eyre Peninsula Transmission Line,Decision on approval of action: Approved with conditions,11/03/2021,Yes,No,Success,20198583_11032021_e_doaoaawc,Yes
2021/8908,"Syncline Energy Pty Ltd/Energy Generation and Supply (renewable)/77-347 Holden Rd, Plumpton/Victoria/Melton Renewable Energy Hub, Plumpton, Victoria",Invitation for Public Comment on Referral,11/03/2021,Yes,No,Success,20218908_11032021_sepl_ifpcor,Yes
2018/8287,"MAXWELL VENTURES (MANAGEMENT) PTY LTD/Mining/Thomas Mitchell Drive, Muswellbrook, NSW, 2333/New South Wales/Maxwell Coal Mine, Hunter Valley, NSW",Decision on approval of action: Approved with conditions,10/03/2021,Yes,No,Success,20188287_10032021_mvmpl_doaoaawc,Yes
2020/8841,"Sylvanvale Foundation/Residential Development/147 Garnet Road, Kareela/New South Wales/Kareela, Garnet Road Rezoning",Decision whether action needs approval/Approval Not Required - particular manner,9/03/2021,Yes,No,Success,20208841_09032021_sf_dwanaanrpm,Yes
2020/8800,"Main Roads Western Australia/Transport - Land/Bussell Highway, from 950 m west of Hutton Road to 450 m west of the Sabina River bridge/Western Australia/Bussell Highway Duplication Hutton to Sabina",Notification of Publication of Preliminary Documentation: Invitation to Comment,6/03/2021,Yes,No,Success,20208800_06032021_mrwa_nopopditc,Yes
2021/8907,"AGI Operations Pty Limited/Energy Generation and Supply (non-renewable)/Arrowsmith, near Dongara/Western Australia/West Erregulla Processing Plant and Pipeline",Invitation for Public Comment on Referral,5/03/2021,Yes,No,Success,20218907_05032021_aopl_ifpcor,Yes
2018/8205,"PERRON DEVELOPMENTS PTY LTD/Residential Development/Lot 131 Jandakot Road, Treeby/Western Australia/Residential Development Lot 131 Jandakot Road, Treeby WA",Notification of Variation to Proposal,4/03/2021,Yes,No,Success,20188205_04032021_pdpl_novtp,Yes
2021/8894,"Co-Operative Bulk Handling Limited/Transport - Land/corner of Bindoon-Moora Road and Wheatbin Road, Moora/Western Australia/Moora Grain Receival Site - Out-loading Project, WA",Invitation for Public Comment on Referral,4/03/2021,Yes,No,Success,20218894_04032021_cbhl_ifpcor,Yes
2006/3201,Southern Downs Regional Council/Water Management and Use/Stanthorpe/Queensland/Construction of a dam at Emu Swamp,Notification of Transfer of Approval to Granite Belt Water Limited,4/03/2021,Yes,No,Success,20063201_04032021_sdrc_notoatgbwl,Yes
2014/7380,"NARRE WARREN CENTRAL PTY LTD/Residential Development/96-166 Centre Road, Narre Warren, Victoria/Victoria/Residential development, 96-166 Centre Road Narre Warren, Victoria",Notification of Variation to Approval,4/03/2021,Yes,No,Success,20147380_04032021_nwcpl_novta,Yes
2019/8576,"BM Alliance Coal Operations Pty Limited/Mining/Saraji Mine, Dysart/Queensland/Spring Creek to Phillips Creek Diversion",Final recommendation report completed,3/03/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2018/8290,"The Trustee for Arcidiacono Family Trust/Commercial Development/Lot 2 DP229466/New South Wales/Service centre, 6 Honeman Close, Huntingwood, NSW",Change of person proposing to take action to: Lehr Consultants International (Australia) Pty Ltd,2/03/2021,Yes,No,Success,20188290_02032021_ttfaft_coppttatlciapl,Yes
2001/422,"BURNETT WATER PTY LTD/Water Management and Use/Burnett River, Paradise/Queensland/Water Storage Reservoir",Notification of Variation to Approval,2/03/2021,Yes,No,Success,2001422_02032021_bwpl_novta,Yes
2021/8886,AUSTRALIA PACIFIC AIRPORTS MELBOURNE PTY LTD/Transport - Air and Space/Melbourne Airport/Victoria/Exposure draft major development Melbourne Airport and Melbourne Airports Third Runway,s161- Advice required,2/03/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2021/8886,AUSTRALIA PACIFIC AIRPORTS MELBOURNE PTY LTD/Transport - Air and Space/Melbourne Airport/Victoria/Exposure draft major development Melbourne Airport and Melbourne Airports Third Runway,Decision on Assessment Approach: Accredited Assessment Process,2/03/2021,Yes,No,Success,20218886_02032021_apampl_doaaaap,Yes
2021/8888,"Snowy Hydro Limited/Energy Generation and Supply (non-renewable)/Hart Road, Loxford/New South Wales/Kurri Kurri Gas Fired Power Station",Invitation for Public Comment on Referral,1/03/2021,Yes,No,Success,20218888_01032021_shl_ifpcor,Yes
2021/8900,APA Northern Goldfields Interconnect Pty Ltd/Energy Generation and Supply (non-renewable)/Mid West and Goldfields regions/Western Australia/Northern Goldfields Interconnect Pipeline,Invitation for Public Comment on Referral,1/03/2021,Yes,No,Success,20218900_01032021_angipl_ifpcor,Yes
2021/8889,AGL SA Generation Pty Limited/Energy Generation and Supply (non-renewable)/Torrens Island/South Australia/Torrens Island Battery,Invitation for Public Comment on Referral,27/02/2021,Yes,No,Success,20218889_27022021_asgpl_ifpcor,Yes
2021/8887,"Josko Garbin/Residential Development/Lot 877 Parcel 202761 (Attachment 3)/Western Australia/Lot 877 Stakehill Road, Karnup",Notification of Proposal Withdrawn,26/02/2021,No,No,Not Applicable,Not Applicable,Not Applicable
